Relative Intensity vs Linear Position, Run #5
Linear Position ( m )	Relative Intensity (  )
-0.150	0.06
-0.150	0.06
-0.151	0.06
-0.151	0.07
-0.151	0.06
-0.152	0.06
-0.152	0.06
-0.152	0.07
-0.153	0.07
-0.153	0.06
-0.154	0.06
-0.154	0.07
-0.155	0.07
-0.155	0.07
-0.156	0.07
-0.157	0.07
-0.157	0.07
-0.157	0.07
-0.157	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.162	0.07
-0.162	0.06
-0.162	0.06
-0.162	0.07
-0.162	0.07
-0.162	0.06
-0.163	0.06
-0.163	0.06
-0.163	0.07
-0.163	0.07
-0.163	0.06
-0.163	0.06
-0.164	0.06
-0.164	0.07
-0.164	0.06
-0.164	0.06
-0.164	0.06
-0.164	0.06
-0.164	0.07
-0.164	0.06
-0.164	0.06
-0.164	0.07
-0.164	0.06
-0.164	0.06
-0.164	0.06
-0.164	0.06
-0.164	0.07
-0.165	0.06
-0.165	0.06
-0.165	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.168	0.06
-0.168	0.06
-0.168	0.06
-0.168	0.06
-0.169	0.06
-0.169	0.06
-0.169	0.06
-0.169	0.06
-0.169	0.06
-0.170	0.06
-0.170	0.06
-0.170	0.07
-0.170	0.06
-0.170	0.06
-0.171	0.06
-0.171	0.06
-0.171	0.07
-0.171	0.06
-0.171	0.06
-0.171	0.06
-0.171	0.07
-0.171	0.07
-0.172	0.06
-0.172	0.06
-0.172	0.07
-0.172	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.06
-0.174	0.07
-0.174	0.06
-0.174	0.06
-0.174	0.06
-0.174	0.07
-0.174	0.07
-0.174	0.06
-0.174	0.06
-0.174	0.07
-0.174	0.07
-0.174	0.07
-0.174	0.06
-0.174	0.07
-0.175	0.07
-0.175	0.06
-0.175	0.06
-0.175	0.06
-0.176	0.07
-0.176	0.07
-0.177	0.06
-0.177	0.06
-0.177	0.06
-0.177	0.07
-0.177	0.07
-0.177	0.06
-0.177	0.06
-0.178	0.07
-0.178	0.07
-0.178	0.06
-0.178	0.06
-0.178	0.06
-0.179	0.07
-0.179	0.07
-0.179	0.06
-0.179	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
